,Feature,Weight,Odds ratio
0,Passes,-0.1469278697088481,0.863356249308078
1,Successful_passes,0.22619839955032228,1.2538243987999667
2,Unsuccessful_passes,-0.3731262692591592,0.6885782810849785
3,Crosses,1.2351835062380867,3.4390095425090252
4,Successful_crosses,0.7006730580553303,2.0151085361762155
5,Unsuccessful_crosses,-2.598583384733422,0.07437886986040404
6,Long_passes,-0.3415980682954847,0.7106337735596383
7,Long_passes_won,-0.11923716180922629,0.8875972716233986
8,Long_passes_lost,-0.22236090648625548,0.800626360939466
9,Aerial,0.17163296050790028,1.1872419885362224
10,Aerial_won,0.3340746993652248,1.3966474683572885
11,Aerial_lost,-0.16244173885732216,0.8500656145767679
12,Ground_duels,3.517186982711183,33.689525826448715
13,Ground_duels_won,-3.2076229313279496,0.040452657820168776
14,Ground_duels_lost,-3.131941400521155,0.04363300583206667
15,Free_kicks,0.6567129173482663,1.928442953272233
16,Fouls_received,-1.4143537669048651,0.24308265075569632
17,Fouls_conceded,-1.3408011861128597,0.2616359654837687
18,Corners,-0.1288755055730843,0.8790833997175285
19,Corners_successful,0.0776092944633607,1.0807003405679372
20,Corners_unsuccessful,-0.20648480003644593,0.8134386256004562
21,Interceptions,1.2348914810254712,3.4380054116390886
22,Saves,0.21417450844831637,1.2388388237720978
23,Clearances,-2.18518090107348,0.112457388151846
24,Shots,-1.7228419880455657,0.17855796652452063
25,Shots_on_target,1.4887517193860307,4.431560234198079
26,Shots_off_target,1.7377102512284912,5.684312861617861
27,Goals,0.6496569622821202,1.914883838952034
28,Goals_from_penalty,-0.6635158594058079,0.5150373485942087
29,Own_goals,0.049100431896524833,1.0503258316583577
30,matchPeriod_1H,-0.6458770405527742,0.5242025935069136
31,matchPeriod_2H,-0.37256513491187176,0.6889647744364974
32,matchPeriod_E1,0.850346874855556,2.340458557361769
33,matchPeriod_E2,0.9418796661304072,2.5647978539231073
34,matchPeriod_P,-0.819776091061481,0.4405302821316413
35,PlayerType_Defender,0.2142295970310538,1.2389070715269581
36,PlayerType_DefenderSubstitute,0.14089753255453533,1.1513066704869497
37,PlayerType_Forward,-0.7506408036753067,0.4720639554809991
38,PlayerType_ForwardSubstitute,-0.5491812661809073,0.5774223721269085
39,PlayerType_Goalkeeper,1.1725941207995736,3.230361727168348
40,PlayerType_GoalkeeperSubstitute,-0.17328325170537448,0.8408993949204564
41,PlayerType_Midfielder,-0.6271421141099678,0.5341160646484653
42,PlayerType_MidfielderSubstitute,0.5265344597462422,1.6930547806020002
